"Time,s","Current,A"
0.009645,-2.561528500330529e-08
0.009745,-2.5924841705434934e-08
0.009845,-2.6229538961663592e-08
0.009945,-2.6516119220836798e-08
0.010045,-2.677405617030444e-08
0.010145,-2.699642497571313e-08
0.010245,-2.718032878714601e-08
0.010345,-2.732681662076196e-08
0.010445,-2.7440444965128622e-08
0.010545,-2.7528415133324273e-08
0.010645,-2.759951902527185e-08
0.010745,-2.7663009739821437e-08
0.010845,-2.7727538487351196e-08
0.010945,-2.7800373551045076e-08
0.011045,-2.7886753848887864e-08
0.011145,-2.7989555570637065e-08
0.011245,-2.8109322639738667e-08
0.011345,-2.824442374246757e-08
0.011445,-2.8391492621330405e-08
0.011545,-2.8545998229347067e-08
0.011645,-2.8702850839877657e-08
0.011745,-2.8857022324151378e-08
0.011845,-2.900402463877017e-08
0.011945,-2.9140388738073653e-08
0.012045,-2.9263958420704552e-08
0.012145,-2.9373957764498035e-08
0.012245,-2.9470964099537232e-08
0.012345,-2.955667952631041e-08
0.012445,-2.9633647163163493e-08
0.012545,-2.97048820197982e-08
0.012645,-2.9773507413864673e-08
0.012745,-2.984244215091261e-08
0.012845,-2.991407059479108e-08
0.012945,-2.999000646021865e-08
0.013045,-3.0070990541256e-08
0.013145,-3.0156913531062545e-08
0.013245,-3.024702798629555e-08
0.013345,-3.0340128372501665e-08
0.013445,-3.0434685097503296e-08
0.013545,-3.05290473106687e-08
0.013645,-3.062161006145807e-08
0.013745,-3.071097729113489e-08
0.013845,-3.0796103479949994e-08
0.013945,-3.087635552335665e-08
0.0140449999999999,-3.095158014306664e-08
0.014145,-3.1022096511166195e-08
0.0142449999999999,-3.108856522289327e-08
0.014345,-3.115189719906917e-08
0.014445,-3.121313112674743e-08
0.0145449999999999,-3.1273310691129933e-08
0.014645,-3.133334681076932e-08
0.014745,-3.139393486167973e-08
0.014845,-3.145548699379942e-08
0.014945,-3.1518127562049495e-08
0.015045,-3.1581708567587445e-08
0.015145,-3.1645882871568514e-08
0.015245,-3.171019168466335e-08
0.015345,-3.1774171566845435e-08
0.015445,-3.183733187795821e-08
0.015545,-3.189916071900778e-08
0.015645,-3.1959239346138666e-08
0.015745,-3.2017287136590386e-08
0.015845,-3.2073170554383885e-08
0.015945,-3.212687480334081e-08
0.016045,-3.21785035106863e-08
0.016145,-3.222827231984994e-08
0.016245,-3.227648836583001e-08
0.016345,-3.2323536447198234e-08
0.016445,-3.236981138620199e-08
0.016545,-3.2415632964709705e-08
0.016645,-3.2461205694544866e-08
0.016745,-3.2506651127038034e-08
0.016845,-3.255201062599978e-08
0.016945,-3.259724055010856e-08
0.017045,-3.2642245959919084e-08
0.017145,-3.268692525846403e-08
0.017245,-3.2731172314239455e-08
0.017345,-3.277485959187534e-08
0.017445,-3.2817831717308924e-08
0.017545,-3.285995890208474e-08
0.017645,-3.290117702908861e-08
0.017745,-3.294145091277336e-08
0.017845,-3.298080890945478e-08
0.017945,-3.301937678289094e-08
