keq,kf,cbulk 0,steady state flux 0,cbulk 1,steady state flux 1,cbulk 2,steady state flux 2,cbulk 3,steady state flux 3,log10keq,log10kf
0.00015264,19.63,0.1,-9.077204013323889e-08,0.01,-2.4242058857646652e-08,0.02,-3.6116533878427064e-08,0.04,-5.3714326281828354e-08,-3.8163316426399803,1.2929202996000062
0.00015264,23.645,0.1,-9.246048081576842e-08,0.01,-2.4495004835657457e-08,0.02,-3.6576287226625596e-08,0.04,-5.4529673101490936e-08,-3.8163316426399803,1.373739318351445
0.00015264,28.48,0.1,-9.425665546652972e-08,0.01,-2.4762232265279014e-08,0.02,-3.7063124893301856e-08,0.04,-5.539487631531535e-08,-3.8163316426399803,1.4545399849648188
0.00015264,34.305,0.1,-9.616509748233527e-08,0.01,-2.5043927012483074e-08,0.02,-3.757765904165654e-08,0.04,-5.631150410676273e-08,-3.8163316426399803,1.5353574236624297
0.00082864,1.4508,0.1,-1.6647489245459413e-07,0.01,-4.6143921180540544e-08,0.02,-6.862971976358674e-08,0.04,-1.009785987489978e-07,-3.0816341063261814,0.16160754690839674
0.00015264,41.32,0.1,-9.819033590716786e-08,0.01,-2.5340200708968223e-08,0.02,-3.812040384123664e-08,0.04,-5.728102314315489e-08,-3.8163316426399803,1.616160312847583
0.00015264,49.77,0.1,-1.003368718867269e-07,0.01,-2.5651083922514236e-08,0.02,-3.869176386378085e-08,0.04,-5.830478135963487e-08,-3.8163316426399803,1.696967640744023
0.00015264,59.948,0.1,-1.0260914859777472e-07,0.01,-2.5976519801184434e-08,0.02,-3.929202240150211e-08,0.04,-5.938398923388988e-08,-3.8163316426399803,1.7777746986366576
0.00015264,72.208,0.1,-1.0501151278189911e-07,0.01,-2.6316358294840817e-08,0.02,-3.992132974539047e-08,0.04,-6.05196991989814e-08,-3.8163316426399803,1.8585853161760706
0.00015264,86.975,0.1,-1.075481658682963e-07,0.01,-2.6670351055417772e-08,0.02,-4.057969138202947e-08,0.04,-6.171278275318548e-08,-3.8163316426399803,1.9393944374196266
0.00015264,104.76,0.1,-1.1022310277991998e-07,0.01,-2.7038147104425588e-08,0.02,-4.126695612714812e-08,0.04,-6.296390489194307e-08,-3.8163316426399803,2.0201954897531946
0.00015264,126.19,0.1,-1.1304003653823132e-07,0.01,-2.7419289348226694e-08,0.02,-4.198280420087932e-08,0.04,-6.427349550132559e-08,-3.8163316426399803,2.101024940352695
0.00015264,151.99,0.1,-1.1600230727093991e-07,0.01,-2.7813212042458212e-08,0.02,-4.272673530160007e-08,0.04,-6.564171748767953e-08,-3.8163316426399803,2.1818150149994744
0.00015264,183.07,0.1,-1.1911277504170731e-07,0.01,-2.821923928005744e-08,0.02,-4.34980568032059e-08,0.04,-6.706843160032357e-08,-3.8163316426399803,2.262617181538574
0.00015264,220.51,0.1,-1.223736967560218e-07,0.01,-2.8636584618673963e-08,0.02,-4.4295872288341246e-08,0.04,-6.855315821752424e-08,-3.8163316426399803,2.343428289252123
0.00082864,1.7475,0.1,-1.6735753839908738e-07,0.01,-4.6254636914312234e-08,0.02,-6.884531000938279e-08,0.04,-1.0138216239859787e-07,-3.0816341063261814,0.24241718441771903
0.00015264,265.61,0.1,-1.2578658904367083e-07,0.01,-2.9064351957512233e-08,0.02,-4.5119070742988215e-08,0.04,-7.00950366918682e-08,-3.8163316426399803,2.4242444218370336
0.00015264,319.93,0.1,-1.293520804685099e-07,0.01,-2.9501537798735562e-08,0.02,-4.596631687337727e-08,0.04,-7.16927833442746e-08,-3.8163316426399803,2.5050549660096393
0.00015264,385.35,0.1,-1.3306975848513006e-07,0.01,-2.994703503694644e-08,0.02,-4.683604315872495e-08,0.04,-7.334464968272494e-08,-3.8163316426399803,2.5858553633220276
0.00015264,464.16,0.1,-1.369380180301563e-07,0.01,-3.039963843729498e-08,0.02,-4.772644437399067e-08,0.04,-7.504838293396716e-08,-3.8163316426399803,2.666667711458589
0.00015264,559.08,0.1,-1.4095392032135155e-07,0.01,-3.085805194448647e-08,0.02,-4.8635475432177406e-08,0.04,-7.680119150079566e-08,-3.8163316426399803,2.747473956495846
0.00015264,673.42,0.1,-1.451130710996448e-07,0.01,-3.1320897970578126e-08,0.02,-4.956085349269076e-08,0.04,-7.859971823622174e-08,-3.8163316426399803,2.8282860104195406
0.00015264,811.13,0.1,-1.494095273661658e-07,0.01,-3.178672874427287e-08,0.02,-5.050006522598898e-08,0.04,-8.044002468533378e-08,-3.8163316426399803,2.9090904642704833
0.00015264,977.01,0.1,-1.5383574066916472e-07,0.01,-3.2254039749151376e-08,0.02,-5.1450380091253205e-08,0.04,-8.23175891950726e-08,-3.8163316426399803,2.989899008880076
0.00015264,1176.8,0.1,-1.5838254280411662e-07,0.01,-3.2721285213689446e-08,0.02,-5.240887026060422e-08,0.04,-8.422732153265062e-08,-3.8163316426399803,3.0707026597194735
0.00015264,1417.5,0.1,-1.630391770692793e-07,0.01,-3.3186895478164175e-08,0.02,-5.337243752600514e-08,0.04,-8.616359569504022e-08,-3.8163316426399803,3.1515230675649444
0.00082864,2.1049,0.1,-1.683120155249295e-07,0.01,-4.637420749803501e-08,0.02,-6.907827531248427e-08,0.04,-1.0181843867139047e-07,-3.0816341063261814,0.32323146811477443
0.00015264,1707.4,0.1,-1.677933752364985e-07,0.01,-3.364929594184297e-08,0.02,-5.433784713522278e-08,0.04,-8.812030170710008e-08,-3.8163316426399803,3.2323352770856544
0.00015264,2056.5,0.1,-1.726314774598563e-07,0.01,-3.410692722369841e-08,0.02,-5.530176809027993e-08,0.04,-9.009091586562918e-08,-3.8163316426399803,3.313128713845194
0.00015264,2477.1,0.1,-1.7753859032305647e-07,0.01,-3.455826595091112e-08,0.02,-5.626081888818342e-08,0.04,-9.20685876885771e-08,-3.8163316426399803,3.3939435393155746
0.00015264,2983.6,0.1,-1.8249877649256592e-07,0.01,-3.5001845604227676e-08,0.02,-5.721161731172952e-08,0.04,-9.404624062241816e-08,-3.8163316426399803,3.474740598479892
